,id,name_en,behavior_id,created_at,updated_at,name_ko
0,1,Equal Participation,1,2017-03-02 08:22:27,2017-03-02 08:22:27,
1,2,Group Domination,3,2017-03-02 08:22:27,2017-03-08 05:50:20,
2,3,Social Loafing,4,2017-03-02 08:22:27,2017-03-08 05:50:57,
