,id,group_id,name,members,created_at,updated_at
69,71,53,Group 10,358 359 360 ,2018-09-13 17:01:19,2018-09-13 17:01:19
70,72,54,Group 11,361 362 363 ,2018-09-13 17:01:19,2018-09-13 17:01:19
71,73,55,Group 12,364 365 366 367 ,2018-09-13 17:01:19,2018-09-13 17:01:19
72,74,56,Group 13,368 369 370 371 ,2018-09-13 17:01:19,2018-09-13 17:01:19
73,75,57,Group 14,372 373 374 ,2018-09-13 17:01:19,2018-09-13 17:01:19
74,76,58,Group 15,375 376 377 ,2018-09-13 17:01:19,2018-09-13 17:01:19
75,77,42,Group 1,319 320 321 381 ,2018-09-13 21:55:42,2018-09-13 21:55:42
76,78,43,Group 2,323 324 325 ,2018-09-13 21:55:42,2018-09-13 21:55:42
77,79,59,Rubies,174 230 232 234 236 ,2018-09-14 02:55:59,2018-09-14 02:55:59
78,80,60,Marker,170 179 231 233 ,2018-09-14 02:55:59,2018-09-14 02:55:59
79,81,61,Strangers,153 172 235 237 ,2018-09-14 02:55:59,2018-09-14 02:55:59
80,82,62,First,20 105 314 317 ,2018-09-14 03:04:05,2018-09-14 03:04:05
81,83,63,Second,313 315 316 ,2018-09-14 03:04:05,2018-09-14 03:04:05
82,84,44,Group 1,326 327 328 394 ,2018-09-17 15:17:23,2018-09-17 15:17:23
83,85,62,First,20 314 317 ,2018-09-20 03:06:56,2018-09-20 03:06:56
84,86,63,Second,105 313 315 316 ,2018-09-20 03:06:57,2018-09-20 03:06:57
85,87,62,First,20 314 317 ,2018-09-20 03:10:36,2018-09-20 03:10:36
86,88,66,Group 16,402 403 404 ,2018-10-18 22:06:58,2018-10-18 22:06:58
87,89,67,World class,443 451 455 458 ,2019-03-12 08:28:12,2019-03-12 08:28:12
88,90,68,A/S (Application Software) Center,434 457 460 463 ,2019-03-12 08:28:13,2019-03-12 08:28:13
89,91,69,Team Ace,153 440 450 472 ,2019-03-12 08:28:13,2019-03-12 08:28:13
90,92,70,5 stars hotel,432 444 448 449 461 ,2019-03-12 08:28:13,2019-03-12 08:28:13
91,93,71,Group E Room,191 445 464 466 ,2019-03-12 08:28:13,2019-03-12 08:28:13
92,94,72,archaeo,442 467 468 469 470 ,2019-03-12 08:28:13,2019-03-12 08:28:13
93,95,73,burritos,441 446 447 471 ,2019-03-12 08:28:13,2019-03-12 08:28:13
94,96,74,Team parrot,116 148 452 493 ,2019-03-12 08:28:13,2019-03-12 08:28:13
95,97,74,Team parrot,116 148 452 493 ,2019-03-13 00:32:48,2019-03-13 00:32:48
96,98,68,A/S (Application Software) Center,434 457 460 463 ,2019-03-14 00:11:24,2019-03-14 00:11:24
97,99,74,Team parrot,116 148 452 493 ,2019-03-14 00:31:16,2019-03-14 00:31:16
98,100,75,GG,122 173 435 ,2019-03-18 00:51:18,2019-03-18 00:51:18
99,101,76,unnamed,437 438 490 ,2019-03-18 00:51:18,2019-03-18 00:51:18
100,102,75,GG,122 435 437 ,2019-03-19 06:36:09,2019-03-19 06:36:09
101,103,76,unnamed,173 438 490 ,2019-03-19 06:36:09,2019-03-19 06:36:09
102,104,75,GG,122 173 435 ,2019-03-20 04:00:47,2019-03-20 04:00:47
103,105,76,unnamed,437 438 490 ,2019-03-20 04:00:47,2019-03-20 04:00:47
104,106,76,unnamed,437 438 490 ,2019-03-25 00:21:48,2019-03-25 00:21:48
105,107,67,World class,443 455 458 ,2019-05-08 04:59:10,2019-05-08 04:59:10
106,108,77,team 1,567 568 569 571 572 ,2019-09-11 16:54:36,2019-09-11 16:54:36
107,109,82,Team 2,570 573 574 575 576 ,2019-09-11 16:57:55,2019-09-11 16:57:55
108,110,78,team 1,516 517 518 526 ,2019-09-11 18:21:10,2019-09-11 18:21:10
109,111,79,team 2,514 520 522 532 ,2019-09-11 18:21:10,2019-09-11 18:21:10
110,112,80,team 3,519 523 524 529 ,2019-09-11 18:21:10,2019-09-11 18:21:10
111,113,81,team 4,515 525 533 587 ,2019-09-11 18:24:03,2019-09-11 18:24:03
112,114,83,Team 5,521 530 586 ,2019-09-11 18:24:03,2019-09-11 18:24:03
113,115,81,team 4,515 525 586 587 ,2019-09-11 18:25:07,2019-09-11 18:25:07
114,116,83,Team 5,521 530 533 ,2019-09-11 18:25:07,2019-09-11 18:25:07
115,117,81,team 4,515 521 525 586 ,2019-09-11 18:26:06,2019-09-11 18:26:06
116,118,83,Team 5,530 533 587 ,2019-09-11 18:26:06,2019-09-11 18:26:06
117,119,81,team 4,521 525 586 ,2019-09-11 18:26:44,2019-09-11 18:26:44
118,120,83,Team 5,515 530 533 587 ,2019-09-11 18:26:44,2019-09-11 18:26:44
119,121,78,team 1,516 517 518 526 530 ,2019-09-11 18:28:01,2019-09-11 18:28:01
120,122,79,team 2,514 520 522 532 533 ,2019-09-11 18:28:01,2019-09-11 18:28:01
121,123,81,team 4,521 525 586 587 ,2019-09-11 18:28:01,2019-09-11 18:28:01
122,124,83,Team 5,515 ,2019-09-11 18:28:02,2019-09-11 18:28:02
123,125,81,team 4,515 521 525 586 587 ,2019-09-11 18:28:43,2019-09-11 18:28:43
124,126,83,Team 5,,2019-09-11 18:28:44,2019-09-11 18:28:44
125,127,79,team 2,514 520 522 532 ,2019-09-11 18:30:51,2019-09-11 18:30:51
126,128,80,team 3,519 523 524 529 587 ,2019-09-11 18:30:51,2019-09-11 18:30:51
127,129,81,team 4,515 521 525 533 586 ,2019-09-11 18:30:51,2019-09-11 18:30:51
128,130,78,team 1,516 517 518 526 ,2019-09-11 18:32:50,2019-09-11 18:32:50
129,131,80,team 3,519 523 524 529 586 587 ,2019-09-11 18:32:50,2019-09-11 18:32:50
130,132,81,team 4,515 521 525 530 533 ,2019-09-11 18:32:50,2019-09-11 18:32:50
131,133,80,team 3,519 523 524 529 586 ,2019-09-11 18:38:51,2019-09-11 18:38:51
132,134,81,team 4,515 521 525 530 533 587 ,2019-09-11 18:38:51,2019-09-11 18:38:51
133,135,78,team 1,516 517 518 521 526 ,2019-09-11 18:40:53,2019-09-11 18:40:53
134,136,81,team 4,515 525 530 533 587 ,2019-09-11 18:40:53,2019-09-11 18:40:53
135,137,81,team 4,515 525 530 587 ,2019-09-11 18:50:00,2019-09-11 18:50:00
136,138,84,team 1,556 563 565 ,2019-09-15 00:49:36,2019-09-15 00:49:36
137,139,85,team 2,557 566 ,2019-09-15 00:49:36,2019-09-15 00:49:36
138,140,86,team 3,552 554 555 558 ,2019-09-15 00:49:36,2019-09-15 00:49:36
139,141,87,team 4,553 562 564 ,2019-09-15 00:49:36,2019-09-15 00:49:36
140,142,85,team 2,557 561 566 ,2019-09-15 00:54:35,2019-09-15 00:54:35
141,143,78,team 1,516 517 518 526 ,2019-09-15 01:12:00,2019-09-15 01:12:00
142,144,80,team 3,519 523 524 529 ,2019-09-15 01:12:00,2019-09-15 01:12:00
143,145,81,team 4,515 525 530 586 587 ,2019-09-15 01:12:00,2019-09-15 01:12:00
144,146,78,team 1,516 517 518 521 526 ,2019-09-15 01:13:08,2019-09-15 01:13:08
145,147,88,team 1,537 540 541 550 ,2019-09-15 01:28:59,2019-09-15 01:28:59
