,id,name_en,created_at,updated_at,name_ko,code
0,1,Male,2017-03-02 08:22:26,2017-08-17 01:19:04,남성,m
1,2,Female,2017-03-02 08:22:26,2017-08-17 01:19:04,여자,f
2,3,Id prefer not to answer,2017-03-02 08:22:26,2017-08-17 01:19:04,나는 대답하지 않는 것을 좋아한다,__
3,4,Non-binary,2017-08-17 01:19:04,2017-08-17 01:19:04,,nb
