,id,name,user_id,created_at,updated_at,form_text_en,start_date,end_date,active,form_text_ko,courses_count
0,1,CoLab: Collaborative Learning Platform,1,2017-08-28 01:12:46,2019-05-24 09:20:33,<h1> </li>,2017-08-22,2019-08-21,1,<h1>,0
1,2,CoLab: Collaborative Learning Platform_MSMC,1,2019-09-16 23:53:29,2021-08-24 19:34:11,<h>,2019-09-16,2023-09-22,1,xxx,0
