,id,code,name_en,created_at,updated_at,name_ko
0,1,a,MJ,2017-03-02 08:22:26,2017-03-02 08:22:26,
1,2,b,Maverick,2017-03-02 08:22:26,2017-03-02 08:22:26,
2,3,c,Peppermint,2017-03-02 08:22:26,2017-03-02 08:22:26,
3,4,d,Manhattan,2017-03-02 08:22:26,2017-03-02 08:22:26,
4,5,e,Carrot,2017-03-02 08:22:26,2017-03-02 08:22:26,
5,6,f,Hot Dog Stand,2017-03-30 14:39:50,2017-03-30 14:39:50,
6,7,g,Decepticon,2017-03-30 14:40:04,2017-03-30 14:40:04,
7,8,h,just one,2017-03-30 14:40:14,2017-03-30 14:41:53,
